loan_id,borrower_id,kaggle_truth_label,expected_decision,router_manager_decision,income_vote,fraud_vote,credit_vote,compliance_vote,l3_disagreement,credit_manager_winner,credit_manager_scores,compliance_manager_winner,compliance_manager_scores,l2_managers_disagree,l1_final_decision,l1_borda_scores,l1_rank_assignments,strict_final_correct,risk_safe_correct
40,B040,good,approve,approve,approve,approve,refer,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
41,B041,good,approve,approve,reject,refer,approve,approve,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
42,B042,good,approve,approve,approve,approve,approve,approve,False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
43,B043,good,approve,approve,reject,refer,approve,refer,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
44,B044,good,approve,approve,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
45,B045,bad,reject,approve,refer,refer,refer,approve,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,True
46,B046,good,approve,refer,unknown,unknown,refer,refer,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
47,B047,good,approve,approve,reject,refer,approve,approve,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
48,B048,good,approve,approve,unknown,refer,refer,approve,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
49,B049,good,approve,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
50,B050,good,approve,approve,reject,approve,approve,approve,True,approve,"{""approve"": 4, ""refer"": 3, ""reject"": 2}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
