run_id,borrower_id,kaggle_truth_label,expected_decision,post_rl_decision,post_rl_correct,scores_before_json,weights_before_json,weights_after_json
combined_B011,B011,bad,reject,approve,False,"{""approve"": 4.5, ""reject"": 0.0, ""refer"": 0.7999999999999998, ""unknown"": 0.0}","{""BaselineRouter"": 0.7999999999999998, ""Borda"": 1.0, ""ConsensAgent"": 1.1, ""OverlapControlled"": 1.2000000000000002, ""DriftRouter"": 1.2000000000000002}","{""BaselineRouter"": 0.7499999999999998, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}"
combined_B012,B012,bad,reject,approve,False,"{""approve"": 3.3500000000000005, ""reject"": 0.0, ""refer"": 1.6999999999999997, ""unknown"": 0.0}","{""BaselineRouter"": 0.7499999999999998, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}","{""BaselineRouter"": 0.6999999999999997, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.0, ""OverlapControlled"": 1.1, ""DriftRouter"": 1.1}"
combined_B013,B013,good,approve,approve,True,"{""approve"": 4.8, ""reject"": 0.0, ""refer"": 0.0, ""unknown"": 0.0}","{""BaselineRouter"": 0.6999999999999997, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.0, ""OverlapControlled"": 1.1, ""DriftRouter"": 1.1}","{""BaselineRouter"": 0.7499999999999998, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}"
combined_B014,B014,bad,reject,approve,False,"{""approve"": 3.3500000000000005, ""reject"": 0.0, ""refer"": 1.6999999999999997, ""unknown"": 0.0}","{""BaselineRouter"": 0.7499999999999998, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}","{""BaselineRouter"": 0.6999999999999997, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.0, ""OverlapControlled"": 1.1, ""DriftRouter"": 1.1}"
combined_B015,B015,good,approve,approve,True,"{""approve"": 4.1, ""reject"": 0.0, ""refer"": 0.6999999999999997, ""unknown"": 0.0}","{""BaselineRouter"": 0.6999999999999997, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.0, ""OverlapControlled"": 1.1, ""DriftRouter"": 1.1}","{""BaselineRouter"": 0.6499999999999997, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}"
combined_B016,B016,bad,reject,approve,False,"{""approve"": 4.95, ""reject"": 0.0, ""refer"": 0.0, ""unknown"": 0.0}","{""BaselineRouter"": 0.6499999999999997, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}","{""BaselineRouter"": 0.5999999999999996, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.0, ""OverlapControlled"": 1.1, ""DriftRouter"": 1.1}"
combined_B017,B017,good,approve,approve,True,"{""approve"": 4.1, ""reject"": 0.0, ""refer"": 0.5999999999999996, ""unknown"": 0.0}","{""BaselineRouter"": 0.5999999999999996, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.0, ""OverlapControlled"": 1.1, ""DriftRouter"": 1.1}","{""BaselineRouter"": 0.5499999999999996, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}"
combined_B018,B018,good,approve,approve,True,"{""approve"": 3.3500000000000005, ""reject"": 0.0, ""refer"": 1.4999999999999996, ""unknown"": 0.0}","{""BaselineRouter"": 0.5499999999999996, ""Borda"": 0.95, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}","{""BaselineRouter"": 0.5, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.1, ""OverlapControlled"": 1.2000000000000002, ""DriftRouter"": 1.2000000000000002}"
combined_B019,B019,bad,reject,approve,False,"{""approve"": 4.4, ""reject"": 0.0, ""refer"": 0.5, ""unknown"": 0.0}","{""BaselineRouter"": 0.5, ""Borda"": 0.8999999999999999, ""ConsensAgent"": 1.1, ""OverlapControlled"": 1.2000000000000002, ""DriftRouter"": 1.2000000000000002}","{""BaselineRouter"": 0.5, ""Borda"": 0.8499999999999999, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}"
combined_B020,B020,good,approve,approve,True,"{""approve"": 3.8500000000000005, ""reject"": 0.0, ""refer"": 0.8499999999999999, ""unknown"": 0.0}","{""BaselineRouter"": 0.5, ""Borda"": 0.8499999999999999, ""ConsensAgent"": 1.05, ""OverlapControlled"": 1.1500000000000001, ""DriftRouter"": 1.1500000000000001}","{""BaselineRouter"": 0.55, ""Borda"": 0.7999999999999998, ""ConsensAgent"": 1.1, ""OverlapControlled"": 1.2000000000000002, ""DriftRouter"": 1.2000000000000002}"
